Date,PLN,EUR,CZK,DKK,NOK,RUB,CHF,SEK,HUF,GBP
2002-6,4.052725000000001,0.9182772727272728,33.247499999999995,8.093714999999998,8.16686111111111,0,1.5869049999999998,10.050131578947367,265.38238095238097,1.4592300000000002
2002-7,4.026983333333332,0.9592263157894734,31.537263157894735,7.742294444444444,7.719394736842102,0,1.5333222222222223,9.515444444444444,253.2336842105263,1.4887578947368418
2002-8,4.128931818181818,0.9918681818181819,30.0507,7.487414285714284,7.46882380952381,0,1.4727190476190475,9.364477272727273,248.84681818181815,1.5556999999999996
2002-9,4.172663157894736,0.9773100000000001,31.592944444444445,7.599430000000003,7.600268421052632,0,1.4999449999999999,9.458874999999999,250.84764705882353,1.5334749999999997
2002-10,4.153711111111111,0.980485,30.795199999999994,7.575560000000001,7.505626315789473,0,1.4932894736842106,9.3395,248.584,1.5559250000000002
2002-11,4.119147619047619,0.9812380952380954,31.26460000000001,7.573025000000001,7.468658823529412,0,1.494247619047619,9.278863636363635,248.26549999999997,1.5564045454545457
2002-12,3.947722222222222,1.0016052631578947,30.648999999999994,7.413745000000001,7.30491875,0,1.4674157894736841,9.103194444444444,237.42450000000002,1.572007
2003-1,3.8998000000000004,1.0224157894736843,30.628875,7.267994444444445,7.1226666666666665,0,1.4370333333333332,8.92044117647059,231.26333333333332,1.5904549999999997
2003-2,3.830557142857143,1.0646285714285715,29.618894736842105,6.983128571428572,6.905564705882353,0,1.3745578947368422,8.62042105263158,226.30350000000004,1.6188285714285713
2003-3,3.8698333333333332,1.0774105263157894,29.383473684210525,6.897226315789473,7.017415789473685,0,1.3619235294117649,8.481447368421051,227.38000000000002,1.6045473684210527
2003-4,4.018585,1.080545,29.394699999999993,6.875285000000001,7.273889999999999,0,1.3628,8.533999999999999,227.391,1.58303
2003-5,3.9511684210526314,1.0846166666666666,29.121166666666667,6.839005555555556,7.219847058823529,0,1.3819882352941177,8.42529411764706,226.11315789473682,1.5757210526315788
2003-6,3.7390238095238093,1.1602428571428574,27.07152631578948,6.4019736842105255,6.79068,30.90295499999999,1.3089666666666668,7.9082500000000024,212.452,1.6248523809523812
2003-7,3.800033333333334,1.1653350000000002,26.98547368421053,6.37866111111111,7.03637894736842,30.439349999999997,1.3239052631578947,7.824999999999999,224.9268421052631,1.6632900000000004
2003-8,3.9089,1.134740909090909,28.143954545454548,6.554385714285714,7.301609090909093,30.361457142857137,1.3625105263157895,8.089166666666667,232.6459090909091,1.620740909090909
2003-9,3.920311111111112,1.112005,29.05495,6.685429999999999,7.433835,30.36551,1.3876388888888886,8.294722222222221,232.6926315789473,1.59067
2003-10,3.9753000000000003,1.1273095238095239,28.754111111111108,6.5915857142857135,7.2726380952380945,30.602585714285716,1.3723368421052633,8.041666666666666,226.48578947368418,1.617
2003-11,3.93,1.168818181818182,27.369571428571433,6.357522727272726,7.03797619047619,30.09211363636364,1.3247149999999999,7.700454545454547,219.02052631578945,1.6785909090909088
2003-12,3.931044444444445,1.1736894736842105,27.309875,6.338557894736842,6.9821052631578935,29.784061111111114,1.3285052631578946,7.660138888888889,220.96894736842106,1.691136842105263
2004-1,3.777268421052631,1.2329800000000002,26.227263157894743,6.046872222222222,6.696254999999999,29.41766500000001,1.263357894736842,7.338235294117648,215.04277777777781,1.755004761904762
